OrderID,Date,Product,Category,Price,Quantity,TotalPrice,CustomerID,Country
2036,2023-12-13,"Keyboard","Electronics",130.00,1,130.00,"CUST036","Germany"
2037,2024-05-14,"Mouse","Electronics",60.00,2,120.00,"CUST037","France"
2038,2023-03-09,"Monitor","Electronics",320.00,3,960.00,"CUST038","Japan"
2039,2023-10-08,"Jacket","Apparel",170.99,1,170.99,"CUST039","Australia"
2040,2024-02-28,"Shoes","Footwear",145.00,1,145.00,"CUST040","USA"
2041,2023-04-05,"Laptop","Electronics",1550.25,1,1550.25,"CUST041","Canada"
2042,2023-11-05,"Smartphone","Electronics",1050.00,1,1050.00,"CUST042","Mexico"
2043,2024-03-18,"T-Shirt","Apparel",20.00,12,240.00,"CUST043","UK"
2044,2023-06-02,"Jeans","Apparel",95.00,1,95.00,"CUST044","Germany"
2045,2023-12-08,"Headphones","Electronics",205.50,1,205.50,"CUST045","France"
2046,2024-05-29,"Keyboard","Electronics",85.00,4,340.00,"CUST046","Japan"
2047,2023-02-14,"Mouse","Electronics",40.00,5,200.00,"CUST047","Australia"
2048,2023-09-19,"Monitor","Electronics",450.00,1,450.00,"CUST048","USA"
2049,2024-01-31,"Jacket","Apparel",155.00,1,155.00,"CUST049","Canada"
2050,2023-05-08,"Shoes","Footwear",160.00,1,160.00,"CUST050","Mexico"
2051,2023-11-15,"Laptop","Electronics",1150.00,1,1150.00,"CUST001","UK"
2052,2024-03-01,"Smartphone","Electronics",920.00,2,1840.00,"CUST002","Germany"
2053,2023-08-11,"T-Shirt","Apparel",27.50,3,82.50,"CUST003","France"
2054,2023-04-16,"Jeans","Apparel",88.00,1,88.00,"CUST004","Japan"
2055,2023-10-25,"Headphones","Electronics",230.00,1,230.00,"CUST005","Australia"
2056,2024-02-10,"Keyboard","Electronics",140.50,1,140.50,"CUST006","USA"
2057,2023-06-20,"Mouse","Electronics",52.00,2,104.00,"CUST007","Canada"
2058,2023-12-22,"Monitor","Electronics",390.00,1,390.00,"CUST008","Mexico"
2059,2024-05-18,"Jacket","Apparel",180.00,1,180.00,"CUST009","UK"
2060,2023-03-14,"Shoes","Footwear",125.50,2,251.00,"CUST010","Germany"
2061,2023-09-01,"Laptop","Electronics",1600.00,1,1600.00,"CUST011","France"
2062,2024-01-01,"Smartphone","Electronics",1100.00,1,1100.00,"CUST012","Japan"
2063,2023-07-19,"T-Shirt","Apparel",32.00,6,192.00,"CUST013","Australia"
2064,2023-02-23,"Jeans","Apparel",72.50,3,217.50,"CUST014","USA"
2065,2023-10-10,"Headphones","Electronics",250.00,1,250.00,"CUST015","Canada"
2066,2024-04-08,"Keyboard","Electronics",95.99,2,191.98,"CUST016","Mexico"
2067,2023-05-25,"Mouse","Electronics",38.00,4,152.00,"CUST017","UK"
2068,2023-11-02,"Monitor","Electronics",410.00,1,410.00,"CUST018","Germany"
2069,2024-03-28,"Jacket","Apparel",195.00,1,195.00,"CUST019","France"
2070,2023-08-20,"Shoes","Footwear",150.00,1,150.00,"CUST020","Japan"
2071,2023-01-18,"Laptop","Electronics",1280.00,1,1280.00,"CUST021","Australia"
2072,2024-05-03,"Smartphone","Electronics",880.00,1,880.00,"CUST022","USA"
2073,2023-09-30,"T-Shirt","Apparel",29.50,7,206.50,"CUST023","Canada"
2074,2023-04-02,"Jeans","Apparel",92.00,1,92.00,"CUST024","Mexico"
2075,2023-10-14,"Headphones","Electronics",215.00,2,430.00,"CUST025","UK"
2076,2024-02-01,"Keyboard","Electronics",120.00,1,120.00,"CUST026","Germany"
2077,2023-06-06,"Mouse","Electronics",48.00,3,144.00,"CUST027","France"
2078,2023-12-16,"Monitor","Electronics",360.00,2,720.00,"CUST028","Japan"
2079,2024-04-29,"Jacket","Apparel",160.00,1,160.00,"CUST029","Australia"
2080,2023-07-04,"Shoes","Footwear",170.00,1,170.00,"CUST030","USA"
2081,2023-01-25,"Laptop","Electronics",1350.00,1,1350.00,"CUST031","Canada"
2082,2024-05-22,"Smartphone","Electronics",970.00,1,970.00,"CUST032","Mexico"
2083,2023-08-01,"T-Shirt","Apparel",35.00,5,175.00,"CUST033","UK"
2084,2023-03-21,"Jeans","Apparel",78.00,2,156.00,"CUST034","Germany"
2085,2023-11-09,"Headphones","Electronics",190.00,1,190.00,"CUST035","France"
2086,2024-04-12,"Keyboard","Electronics",105.00,3,315.00,"CUST036","Japan"
2087,2023-05-11,"Mouse","Electronics",58.50,1,58.50,"CUST037","Australia"
2088,2023-12-04,"Monitor","Electronics",430.00,1,430.00,"CUST038","USA"
2089,2024-03-09,"Jacket","Apparel",200.00,1,200.00,"CUST039","Canada"
2090,2023-08-25,"Shoes","Footwear",140.00,2,280.00,"CUST040","Mexico"
2091,2023-02-19,"Laptop","Electronics",1480.75,1,1480.75,"CUST041","UK"
2092,2024-01-10,"Smartphone","Electronics",1150.00,1,1150.00,"CUST042","Germany"
2093,2023-07-11,"T-Shirt","Apparel",24.00,9,216.00,"CUST043","France"
2094,2023-04-25,"Jeans","Apparel",82.50,1,82.50,"CUST044","Japan"
2095,2023-11-25,"Headphones","Electronics",245.00,1,245.00,"CUST045","Australia"
2096,2024-05-09,"Keyboard","Electronics",115.00,2,230.00,"CUST046","USA"
2097,2023-01-07,"Mouse","Electronics",65.00,1,65.00,"CUST047","Canada"
2098,2023-09-08,"Monitor","Electronics",399.99,1,399.99,"CUST048","Mexico"
2099,2024-02-15,"Jacket","Apparel",185.50,1,185.50,"CUST049","UK"
2100,2023-06-18,"Shoes","Footwear",155.00,1,155.00,"CUST050","Germany"
